Exp or Imp,Year,Commodity,Unit,Quantity-Year,Value-Year,Quantity-Jan,Value-Jan,Quantity-Feb,Value-Feb,Quantity-Mar,Value-Mar,Quantity-Apr,Value-Apr,Quantity-May,Value-May,Quantity-Jun,Value-Jun,Quantity-Jul,Value-Jul,Quantity-Aug,Value-Aug,Quantity-Sep,Value-Sep,Quantity-Oct,Value-Oct,Quantity-Nov,Value-Nov,Quantity-Dec,Value-Dec
2,2023,'20505053',MT,659,414849,376,218614,283,196235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'207     ',  ,0,84343013,0,47856044,0,36486969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20701   ',  ,0,52341844,0,29469079,0,22872765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2070101 ',CM,357044,14110755,219495,8822508,137549,5288247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20701015',CM,299307,12556868,183487,7773810,115820,4783058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20701016',CM,12499,625768,8288,427945,4211,197823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2070103 ',CM,5791,801380,2593,331986,3198,469394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2070105 ',  ,0,37313324,0,20262652,0,17050672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20701052',CM,3269,352309,1572,176755,1697,175554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20701053',CM,3625,371106,1750,226123,1875,144983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20701055',CM,167734,10241740,85823,5525488,81911,4716252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'209     ',MT,213551,34063119,116752,18332915,96799,15730204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'20901   ',MT,210981,33887765,115105,18219591,95876,15668174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2090101 ',MT,23448,5282554,8903,2094667,14545,3187887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2090103 ',MT,184912,27552577,104821,15535998,80091,12016579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'211     ',MT,38893,12890704,20524,6754371,18369,6136333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21101   ',KG,39053,314874,25761,199522,13292,115352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2110101 ',KG,27036,253179,16290,150662,10746,102517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
